Name,Cost,Skill,Swords,Boots,VP,Text,Acquire,Type,Dragon Attack,Arrive/Danger,Quantity,exclude,CostNum,IsMonster
Empurror,1,0,0.0,0.0,1,"Chose one (or all three, if you have an artifact):
-2 Clank! -OR- $1 -OR- You don't have to stop in Crystal Caves this turn.",,Companion,,,1,False,1,False
Golden Flute,1,0,0.0,0.0,1,"$1, +1 Clank!
You may buy one item from the Market this turn for $5 (even if you're not in a Market room).",,,,,1,False,1,False
Payoff,1,3,0.0,0.0,0,Trash this card.,,,,,2,False,1,False
Rebel Scribe,1,1,0.0,0.0,1,"If you have another companion in your play area, draw a card.",,Companion,,,1,False,1,False
Waystone,1,0,0.0,1.0,1,You may trash this to teleport from one Wayshrine to another.,,,,,1,False,1,False
Flamboyance,2,0+,0.0,0.0,1,"Draw a card.
If you make 2 or more Clank! this turn, +2 Skill.",,,,,2,False,2,False
Imp Familiar,2,0,0.0,0.0,1,Take a lockpick -OR- Spend a lockpick to draw two cards.,,Companion,Yes,,1,False,2,False
Pillage,2,0,2.0,1.0,0,"If you gain at least $3 this turn, draw a card.",,,,,2,False,2,False
Remove Traps,2,1,2.0,0.0,1,"Replace a card in the dungeon row.
(If the new card has a dragon attack symbol, ignore it.)",,,,,2,False,2,False
Shadow Walk,2,0,0.0,1.0,1,Trash a Burgle in your play area or discard pile.,,,,,2,False,2,False
Astral Projection,3,2,0.0,0.0,1,"If you generate 6 Skill or more this turn, mark a Wayshrine (as though you were there).",,,,,1,False,3,False
Boots of the Ape Lord,3,0,0.0,3.0,3,"+3 Clank!
If you have a monkey idol, you don't have to stop in Crystal Caves this turn.",,,,,1,False,3,False
Bard,3,2,0.0,0.0,1,"+1 Clank!
If you make 2 or more Clank! this turn, ♥♥.",,Companion,,,2,False,3,False
Breakout! (Promo),3,1,1.0,1.0,1,"If you freed any prisoners this turn, $3 and +1 Clank!",,,,,1,False,3,False
Lie in Wait,3,2,1.0,0.0,1,"If you're in a Crystal Cave, -2 Clank!",You may put this on top of your deck.,,,,2,False,3,False
Lightstick,3,3,0.0,0.0,1,+1 Clank!,,,,,2,False,3,False
Rebel Thief,3,0,0.0,0.0,2,"Take a lockpick.
If you have another companion in your play area, draw a card.",,Companion,,,1,False,3,False
Riot,3,0,1.0,1.0,0,"+1 Clank!
If you have freed three or more prisoners, you may trash a card in your play area or discard pile.",Free a prisoner.,,,,2,False,3,False
Scavenger,3,2,0.0,0.0,1,,Take a minor secret.,Companion,,,2,False,3,False
Smash and Grab,3,0,0.0,0.0,2,"+2 Clank!
Draw two cards.",,,,,2,False,3,False
Sneak Attack,3,0,3.0,0.0,1,-2 Clank!,1 Sword,,,,2,False,3,False
Sudden Movement,3,1,0.0,2.0,1,,,,,Each player alone on a square tile must rotate that tile to a new orientation.,2,False,3,False
Swindle,3,0,0.0,0.0,1,3,,,,,2,False,3,False
Bandit,4,1,1.0,1.0,2,,"1 Sword, 1 Boot",Companion,,,2,False,4,False
Charlatan,4,0,0.0,0.0,2,Discard a card to draw two cards.,,Companion,,,2,False,4,False
Corrupt Advisor,4,2,0.0,0.0,2,"Each other player gets +1 Clank!
If you have a crown, they get +2 Clank! instead.",,Companion,Yes,DANGER Pull +1 cube for dragon attacks.,1,False,4,False
